Unique.ID,country,latitude,longitude,Basin.ID,start.year,end.year,num.year,dur.year,eqr.start,eqr.end,eqr.change,richness,rich.rarefied,rich.coverage,ab,fd,trait.ses,taxa.comp,trait.comp,id.level,richness_circularity,ab_circularity,taxa_circularity,trait_circularity
ENG_062_MZB_LO_626,England,50.5585719,-3.966576214,1174078,2004,2023,16,20,0.992305056,1.050350497,0.058045441,-0.682685,-0.468537,0.122697,-0.972681,-0.758411,0.015403436,0.026264,0.006884,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_627,England,50.54353916,-3.911158,1174078,2007,2023,8,17,1.099351321,1.007341765,-0.092009556,-0.121643,0.767486,1.199921,-5.421516,0.74282,0.032565627,0.034266,0.005604,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_633,England,50.31692729,-3.652466644,1162906,2002,2017,7,16,1.092367535,1.030123124,-0.062244412,-1.088497,-0.280993,-1.516127,-2.900378,-1.398257,0.046490942,0.017902,0.002864,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_634,England,50.41192959,-3.813834011,1174077,2002,2017,7,16,1.018844252,1.011339778,-0.007504473,-0.253054,0.830951,2.432948,-6.602973,0.43684,-0.023850004,0.067424,0.017913,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_637,England,50.68922518,-3.293453161,1171235,2004,2023,16,20,1.034647258,1.024323025,-0.010324233,0.421695,1.894315,2.415083,-4.690508,1.260165,-0.013038645,0.044585,0.009773,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_638,England,50.65951514,-3.304379746,1171235,2004,2023,17,20,1.035463873,1.015708814,-0.019755059,0.582267,0.575698,0.916742,0.444295,1.286507,-0.047327023,0.010993,0.005274,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_640,England,50.84991503,-2.8438755,1172404,2004,2024,9,21,0.92524225,0.976012969,0.050770719,0.982055,0.612574,0.431925,1.343668,2.246713,-0.036134415,0.036606,0.004127,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_646,England,50.92004238,-3.195700585,1173451,2007,2024,7,18,1.034539944,1.014388204,-0.02015174,-0.382725,0.386972,0.816607,-4.827301,-0.982218,0.034663499,0.025676,0.001395,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_652,England,50.75186527,-3.151715492,1172404,2013,2024,7,12,0.980285859,0.894639867,-0.085645993,0.825786,2.632252,2.055333,-18.590771,2.030013,-0.169759444,0.093163,0.022605,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_656,England,50.75231735,-3.11444286,1172404,2003,2024,10,22,1.065319892,1.026118761,-0.039201131,0.281537,1.456854,0.148942,-4.972931,0.40381,-0.056706414,0.045418,0.007296,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_657,England,50.89396635,-3.055399586,1172404,2003,2024,11,22,1.024252295,0.993703121,-0.030549173,1.086896,1.35467,-0.373412,-1.160786,1.883588,-0.024914925,0.037338,0.00467,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_659,England,50.80908088,-3.044542924,1172404,2007,2024,11,18,0.984905689,1.00468074,0.019775051,-2.328724,0.379558,-1.763377,-13.330934,-4.06186,0.018671321,0.07073,0.007601,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_66,England,53.15486125,-1.390581624,1174178,2002,2018,7,17,0.790388635,0.789538905,-0.00084973,1.85381,0.737686,3.460023,5.070302,4.125524,-0.002701536,0.02256,0.006909,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_663,England,50.78664593,-3.039219491,1172404,2002,2024,13,23,0.973205903,0.962673352,-0.010532551,-1.151383,0.449124,0.204965,-8.209651,-2.446092,0.005961465,0.033365,0.00081,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_666,England,51.14459468,-3.890588315,1173750,2009,2023,15,15,1.008229666,0.98308258,-0.025147086,-0.753908,1.443092,1.986365,-11.921105,-1.402505,0.026968489,0.058732,0.009832,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_669,England,50.63927817,-3.786081032,1172754,2004,2022,11,19,1.007494298,0.992077795,-0.015416503,-0.21042,0.739811,0.213629,-6.839616,-0.511748,0.039791185,0.039914,0.00806,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_670,England,50.6758927,-3.651169233,1172754,2013,2022,7,10,0.876757286,0.819494309,-0.057262977,-3.307221,-2.19459,-4.00566,-3.836858,-7.184314,0.142647783,0.048198,0.016028,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_672,England,50.52699742,-3.622685335,1172754,2003,2023,10,21,0.937691817,0.987637769,0.049945952,1.152941,2.255418,6.267205,-4.409386,2.436388,-0.026394367,0.022941,0.013184,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_674,England,50.55076762,-3.614325182,1172754,2002,2023,9,22,1.012409413,1.004893043,-0.00751637,-0.099016,0.281216,-0.464121,-2.061861,-0.585305,-0.011832772,0.020004,0.001206,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_675,England,50.67310952,-3.8654911,1172754,2002,2024,7,23,1.053985177,0.99877143,-0.055213748,0.116624,1.216782,1.992572,-6.744687,0.612611,0.0345783,0.037868,0.006052,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_677,England,50.6981751,-3.733233037,1172754,2004,2024,7,21,0.904536405,0.96060184,0.056065435,0.382803,0.891408,3.560865,-2.136137,0.935826,-0.032332683,0.051791,0.012231,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_679,England,50.57280286,-3.627223847,1172754,2003,2024,17,22,0.972362986,0.997045062,0.024682076,-0.713009,0.671953,1.249489,-5.095523,-1.635143,0.001440931,0.024617,0.001287,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_68,England,53.66546072,-1.949777793,1174178,2002,2019,17,18,0.908989504,0.911475339,0.002485835,2.522187,0.595406,0.136818,3.112127,4.455193,-0.017986196,0.019416,0.007932,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_681,England,50.48642959,-3.771149819,1174078,2004,2023,16,20,0.999064138,1.041924049,0.042859911,-0.371705,0.029292,0.12806,-1.8343,-0.581957,-0.00477451,0.001221,0.007424,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_683,England,50.69115362,-3.672093084,1172754,2013,2022,7,10,0.911023271,0.885605203,-0.025418068,-1.242746,-0.325149,-3.497641,-5.381211,-3.858566,-0.052159828,0.05953,0.003516,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_684,England,50.68568042,-3.872360528,1172754,2006,2023,7,18,0.973886357,1.012529222,0.038642865,0.103156,0.052614,-1.343468,-0.615137,0.190571,-0.042142303,0.027639,0.009799,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_686,England,50.9811817,-3.493588182,1173451,2002,2017,7,16,0.935365976,0.970876237,0.03551026,0.161791,0.817364,-0.947134,-6.346419,-0.148241,-0.034781535,0.000449,0.000483,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_687,England,51.02873323,-3.516222496,1173451,2004,2023,9,20,1.065036952,1.019280662,-0.045756291,-1.742007,-0.659273,-2.496511,-9.346685,-3.225396,0.069372646,0.040428,0.011259,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_688,England,51.13835517,-3.760247727,1173451,2004,2023,13,20,1.005938753,1.057000803,0.05106205,1.462459,1.592306,2.084344,-1.755197,2.829764,-0.053779298,0.059007,0.011456,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_689,England,51.02454354,-3.534052902,1173451,2003,2023,18,21,1.012558741,1.022877197,0.010318456,-0.37448,-0.057954,-0.815796,-2.275638,-1.328492,-0.02636339,0.006305,0.006807,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_690,England,50.80368408,-3.512329844,1173451,2002,2023,17,22,0.96945672,1.001149753,0.031693033,-0.729151,0.724248,1.45184,-7.432532,-0.86762,-0.004315619,0.027221,0.008901,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_691,England,51.00973161,-3.525153712,1173451,2003,2023,9,21,1.028316284,1.095305232,0.066988949,-1.988447,-0.4598,-0.196657,-6.140299,-4.154866,-0.04153405,0.026736,0.011455,Family,FALSE,FALSE,FALSE,FALSE
ENG_062_MZB_LO_692,England,50.77363771,-3.696025573,1173451,2005,2023,13,19,0.909655989,0.906591167,-0.003064822,-2.011293,-0.95838,0.270384,-4.84777,-4.292116,-0.003399983,0.036527,0.013382,Family,FALSE,FALSE,FALSE,FALSE
